Overall_Obligation_Period,ECO_Supplier_Reference,Obligation_Category,Measure_Type,Measure_Reference_Number,Purpose_of_Notification,Eligibility,HTH_Verification_Method,DWP_Reference_Number,Associated_Insulation_MRN_for_Boiler_Upgrades,Associated_AW_In-fill_Measure_1,Associated_AW_In-fill_Measure_2,SWMR_RN,Date_of_Completed_Installation,Building_Number,Building_Name,Flat_Name/Number,Street_Name,Town,Post_Code,Unique_Property_Reference_Number_(UPRN),Rural_Sub_Obligation,LSOA/DZ_Code,Private_Domestic_Premises,Tenure,Property_Type,Scoring_Method,Name_&_Version_Of_Scoring_Tool_Used,New_Methodology_ID,Annual_Cost_Saving_(£),Lifetime_(yrs),Cost_Score_(£),Boiler_or_ESH_Warranty,Adequate_Roof_or_Wall_Insulation,DHS_Consumer_Protection,Pre_Main_Heating_Source_for_the_Property,Post_Main_Heating_Source_for_the_Property,Pre_Installation_EPC_RRN,Post_Installation_EPC_RRN,Brokerage_Lot_Number,Installed_In_Accordance_with_PAS?,Percentage_of_Measure_Installed,Percentage_Of_Property_Treated,Name_of_Uplift_For_DS,Uplift_For_Non_DS,Installer_Name,Wall_Guarantee,LA_Criteria,LA_Declaration_Reference_Number,PAS_Certification_Number,Innovation_Measure
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG1405325,New Notification,Help to Heat Group,DWP Match,1565846745,N/A,N/A,N/A,N/A,09/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Bung_Semi/End_1,DS,SAPPER 12.00.1,N/A,0,2,27,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,86,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG5658466,New Notification,Help to Heat Group,DWP Match,1991160934,N/A,N/A,N/A,N/A,15/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Single_park_home,DS,SAPPER 12.00.1,N/A,0,3,39,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,99,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG9911608,New Notification,Help to Heat Group,DWP Match,1775280150,N/A,N/A,N/A,N/A,12/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Bung_Det_3+,DS,SAPPER 12.00.1,N/A,0,3,33,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,93,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG7752800,New Notification,Help to Heat Group,DWP Match,1200594340,N/A,N/A,N/A,N/A,04/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Mid-terrace_1,DS,SAPPER 12.00.1,N/A,0,1,17,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,76,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG2005943,New Notification,Help to Heat Group,DWP Match,1625908529,N/A,N/A,N/A,N/A,10/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Bung_Semi/End_1,DS,SAPPER 12.00.1,N/A,0,2,29,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,88,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG6259084,New Notification,Help to Heat Group,DWP Match,1051222718,N/A,N/A,N/A,N/A,01/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,3W_Flat_1,DS,SAPPER 12.00.1,N/A,0,1,13,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,71,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG0512227,New Notification,Help to Heat Group,DWP Match,1476536907,N/A,N/A,N/A,N/A,08/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Det_4,DS,SAPPER 12.00.1,N/A,0,2,25,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,84,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG4765368,New Notification,Help to Heat Group,DWP Match,1901851096,N/A,N/A,N/A,N/A,14/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Single_park_home,DS,SAPPER 12.00.1,N/A,0,3,37,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,97,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG9018510,New Notification,Help to Heat Group,DWP Match,1327165285,N/A,N/A,N/A,N/A,05/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,End-terrace_1,DS,SAPPER 12.00.1,N/A,0,1,21,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,79,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
ECO3,GGG05070887E,HHCRO,PWI_Cavity,GGG3271652,New Notification,Help to Heat Group,DWP Match,1752479474,N/A,N/A,N/A,N/A,12/10/2018,10,,,Lavender Place,Ilford,IG1 2BG,N/A,No,N/A,Yes,Owner Occupied,Bung_Det_3+,DS,SAPPER 12.00.1,N/A,0,3,33,N/A,N/A,N/A,Electric boiler,Gas boiler,9815-2841-7408-9004-7935,N/A,N/A,PAS2030:2017,92,N/A,N/A,N/A,ECO3 Tester,SSWSWI01,Fuel poor,A21335071-08213,Pass1,Demonstration Action
